foundation_origin z FloaterHeave [m],foundation_origin Rz FloaterYaw [deg],foundation_origin xy FloaterOffset [m],foundation_origin Rxy FloaterTilt [deg],CEN_E3 Resultant bending moment ArcLength=2.72 [kN.m],MooringLine1 Effective tension Fairlead [kN],MooringLine2 Effective tension Fairlead [kN],MooringLine3 Effective tension Fairlead [kN],MooringLine4 Effective tension Fairlead [kN],MooringLine5 Effective tension Fairlead [kN],foundation_origin Mooring GXY Resultant force [kN],GE14-220 GXY acceleration [m/s^2]
4.492232322692871,3.3329478998586324,34.780626340994466,8.253892778818086,757476.2353739244,5309.393717447917,3655.2122395833335,1465.8771565755208,6898.273763020833,7063.059244791667,14101.533321567758,3.0314412889957634
3.6812952359517417,4.535086593546852,38.79771716250844,7.41805302072428,836726.3477648176,6248.650390625,4426.349934895833,1186.1912027994792,7451.805989583333,7991.860026041667,16750.499603569922,3.492616800082095
3.8089821338653564,2.9534445180305444,37.84495922314068,6.8711905966570725,743590.0229127351,5091.831705729167,3310.28125,1404.85986328125,7579.3720703125,7276.327799479167,13965.395022662311,3.0623576875131473
4.687625726064046,2.646075262061589,35.916613333226344,8.259183326771918,778979.5575281804,5178.414388020833,3486.6532389322915,1347.6187337239583,7656.65869140625,7056.384114583333,13847.392349686148,3.171821308053042
4.1974747975667315,4.752702041179963,37.90487312028307,6.59951949058387,768216.5650857665,5772.078125,4144.836751302083,1261.5943603515625,7462.756673177083,7438.7685546875,15293.877798268863,3.531579924325122
4.3757946491241455,2.501544581668809,36.684381396472794,6.192027104979232,673763.9016029877,4653.11181640625,3060.8359375,1515.3196207682292,7621.445475260417,6539.68994140625,12640.748543720712,3.007459081513542
5.20651896794637,2.2372935628782034,34.996043676560944,7.25449498741612,698016.1633420213,4855.89453125,3313.227783203125,1463.28515625,7678.293619791667,6550.395670572917,12907.426314332379,3.0476384498111404
4.256137768427531,6.720955092981598,35.28007143369113,5.746802423348874,656319.0677874059,5452.04296875,4051.2967936197915,1518.4368082682292,6558.500813802083,6755.111165364583,14400.031666816692,3.3239351789258724
4.525776545206706,4.35223353599013,34.479436195662146,5.503334168029805,596070.2136258899,4611.55908203125,3083.8783365885415,1697.764892578125,6650.158528645833,6370.23974609375,12342.307531283775,3.1274504073715
5.460248788197835,4.691548084741862,31.718220036962652,6.119127553115256,618865.7062173405,4637.323079427083,3250.26806640625,1686.2696533203125,6663.800130208333,6074.185872395833,12109.750610391655,2.9392719281205237
4.584312359491984,6.864595821069867,31.96521488182741,5.344222008502858,555587.7244279742,5453.818359375,4381.4248046875,2081.105224609375,4380.5654296875,6377.57666015625,14284.42286574535,3.024531475428946
